CUSTOMER,SEQUENCE,CUSTOMER_NAME,Division,ORDER_,DESPATCH_,ORDER_LINE,ITEM,DESCRIPTION,QTY,Item_Weight,Total_Weight,Item_Type,Item_Class,Destination_Country,LONG_DANGEROUS_CODE,COMMITED_DATE,EXPECTED_DATE,REQUESTED_SHIP_BY_DATE,CUSTOMER_REQUESTED_DATE,REQUESTED_DATE,CREATION_TIME,RP_STATUS_TIME,PP_STATUS_TIME,PC_Status_Time,CP_Status_Time,CO_Status_Time,ALLOCATION_TIME,PICK_LIST_PRINTED_TIME,STATUS,STOCKROOM,Time_Zone_Hours,CRITICALITY,Carrier,Dispatch_method,Customer_Reference,Terms_of_Delivery,PACKING,Fiscal_Document_Type,Tax_Engine_Status,Pre_Carriage_Load_ID,Main_Carriage_Load_ID,LATE_SHIP_DATE,LATE_SHIP_TIME,End_User_Name
00034,A02,MINERA EL ROBLE SA                 ,PARTSERV            ,0046907,00,1,20797408,BEARING BUSHING                     ,2.00,0.360,0.720,P,DR,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-07-29,2026-07-24 11:28:28,,,,,,2026-07-24 11:32:55,2026-07-24 11:32:55,PP,01,-6:00,2,,,,CIP,,,,,,,00:00:00,MINERA EL ROBLE SA                 
00034,A02,MINERA EL ROBLE SA                 ,PARTSERV            ,0046907,00,3,69042235,NARROW V-BELT SEE T TEXT            ,2.00,0.090,0.180,P,LT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-07-29,2026-07-24 11:28:28,,,,,,2026-07-24 11:32:55,2026-07-24 11:32:55,PP,01,-6:00,2,,,,CIP,,,,,,,00:00:00,MINERA EL ROBLE SA                 
00034,A02,MINERA EL ROBLE SA                 ,PARTSERV            ,0046907,00,4,70212653,BUSHING                             ,4.00,0.020,0.080,P,DS,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-07-29,2026-07-24 11:28:28,,,,,,2026-07-24 11:32:55,2026-07-24 11:32:55,PP,01,-6:00,2,,,,CIP,,,,,,,00:00:00,MINERA EL ROBLE SA                 
00034,A02,MINERA EL ROBLE SA                 ,PARTSERV            ,0046907,00,6,BG00864184,CENTRIFUGAL WATER PUMP              ,1.00,30.500,30.500,C,DS,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-07-29,2026-07-24 11:28:28,,,,,,2026-07-24 11:32:55,2026-07-24 11:32:55,PP,01,-6:00,2,,,,CIP,,,,,,,00:00:00,MINERA EL ROBLE SA                 
00034,A02,MINERA EL ROBLE SA                 ,PARTSERV            ,0046907,01,8,88638829,CONTROL VALVE                       ,1.00,2.000,2.000,P,DR,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-08-26,2026-07-24 11:28:28,,,,,,2026-07-24 12:28:02,2026-07-24 12:28:02,PP,01,-6:00,2,,,,CIP,,,,,,,00:00:00,MINERA EL ROBLE SA                 
00035,A01,ARIS MINING MARMATO S.A.S          ,PARTSERV            ,0046896,00,1,81558479,FILTER ELEMENT (HYDRAULIC)          ,2.00,0.490,0.980,P,DR,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-07-29,2026-07-23 18:05:40,,,,,,2026-07-24 14:33:28,2026-07-24 14:33:28,PP,01,-6:00,2,,,,DDP,,,,,,,00:00:00,ARIS MINING MARMATO S.A.S          
00035,A01,ARIS MINING MARMATO S.A.S          ,PARTSERV            ,0046895,00,1,BG00323815,OIL FILTER                          ,2.00,0.300,0.600,P,DR,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-07-29,2026-07-23 17:58:21,,,,,,2026-07-24 14:33:28,2026-07-24 14:33:28,PP,01,-6:00,2,,,,DDP,,,,,,,00:00:00,ARIS MINING MARMATO S.A.S          
00035,A01,ARIS MINING MARMATO S.A.S          ,PARTSERV            ,0046891,00,1,56006066,"ELEMENT, FILTER                     ",2.00,1.500,3.000,P,LT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-07-29,2026-07-23 17:20:09,,,,,,2026-07-24 14:28:03,2026-07-24 14:28:03,PP,01,-6:00,2,,,,DDP,,,,,,,00:00:00,ARIS MINING MARMATO S.A.S          
00035,A01,ARIS MINING MARMATO S.A.S          ,PARTSERV            ,0046891,00,2,56040822,SAFETY ELEMENT                      ,17.00,0.580,9.860,P,LT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-07-29,2026-07-23 17:20:09,,,,,,2026-07-24 14:28:03,2026-07-24 14:28:03,PP,01,-6:00,2,,,,DDP,,,,,,,00:00:00,ARIS MINING MARMATO S.A.S          
00093,A01,ARIS MINING SEGOVIA                ,PARTSERV            ,0046889,00,73,04530143,"DAMPER, HOLE MOUNT                  ",6.00,1.130,6.780,P,LT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-07-29,2026-07-23 16:31:46,,,,,,2026-07-24 10:30:52,2026-07-24 10:30:52,PP,01,-6:00,2,,,,CIP,,,,,,,00:00:00,ARIS MINING SEGOVIA                
